Flora,Escuela,Año_rango,Año,Título
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Repollo (Brassica oleracea Capitata),Flamenca,1601 - 1800,1642,"""Una despensa"""
Chirivía / Pastinaca (Pastinaca sativa),Flamenca,1601 - 1800,1642,"""Una despensa"""
Coliflor (Brassica oleracea Botrytis),Flamenca,1601 - 1800,1642,"""Una despensa"""
Colinabo (Brassica napobrassica),Flamenca,1601 - 1800,1642,"""Una despensa"""
