Lugar,Escuela,Año_rango,Año,Título
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bruselas,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
Bélgica,Flamenca,1601 - 1800,1616,"""Los Archiduques Isabel Clara Eugenia y Alberto en el Palacio de Tervuren en Bruselas"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
"Brabante, Tervuren",Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Bélgica,Flamenca,1601 - 1800,1610,"""El archiduque Alberto de Austria"""
Alsasua,Española,1801 - 2000,1870,"""Torrentera (Alsasua)"""
España,Española,1801 - 2000,1870,"""Torrentera (Alsasua)"""
Navarra,Española,1801 - 2000,1870,"""Torrentera (Alsasua)"""
El Escorial,Española,1801 - 2000,1864,"""Recuerdos del Escorial de Abajo"""
España,Española,1801 - 2000,1864,"""Recuerdos del Escorial de Abajo"""
Madrid,Española,1801 - 2000,1864,"""Recuerdos del Escorial de Abajo"""
España,Española,1601 - 1800,1768,"""Imagen de la Virgen del Pino"""
Gran Canaria,Española,1601 - 1800,1768,"""Imagen de la Virgen del Pino"""
Islas Canarias,Española,1601 - 1800,1768,"""Imagen de la Virgen del Pino"""
España,Española,1601 - 1800,1768,"""Imagen de la Virgen del Pino"""
Gran Canaria,Española,1601 - 1800,1768,"""Imagen de la Virgen del Pino"""
Islas Canarias,Española,1601 - 1800,1768,"""Imagen de la Virgen del Pino"""
Buñol,Española,1801 - 2000,1898,"""Niño en la Puerta de la Torreta de Buñol (Valencia)"""
España,Española,1801 - 2000,1898,"""Niño en la Puerta de la Torreta de Buñol (Valencia)"""
Valencia,Española,1801 - 2000,1898,"""Niño en la Puerta de la Torreta de Buñol (Valencia)"""
Aranjuez,Española,1801 - 2000,1915,"""El único naranjo (Aranjuez)"""
España,Española,1801 - 2000,1915,"""El único naranjo (Aranjuez)"""
Madrid,Española,1801 - 2000,1915,"""El único naranjo (Aranjuez)"""
Aranjuez,Española,1801 - 2000,1915,"""El único naranjo (Aranjuez)"""
España,Española,1801 - 2000,1915,"""El único naranjo (Aranjuez)"""
Madrid,Española,1801 - 2000,1915,"""El único naranjo (Aranjuez)"""
Aranjuez,Española,1801 - 2000,1915,"""El único naranjo (Aranjuez)"""
España,Española,1801 - 2000,1915,"""El único naranjo (Aranjuez)"""
Madrid,Española,1801 - 2000,1915,"""El único naranjo (Aranjuez)"""
El Pardo,Española,1801 - 2000,1910,"""Almendros en flor. El Pardo"""
España,Española,1801 - 2000,1910,"""Almendros en flor. El Pardo"""
